event_id,store_id,event_name,start_date,finish_date
1,1,Mega Sale,2019-01-05,2019-01-11
2,1,Inventory Liquidation Sale,2019-02-03,2019-02-09
3,1,Buy One Get One Free (BOGO) Event,2019-03-05,2019-03-08
4,1,Friends and Family Discount Days,2019-04-10,2019-04-17
5,1,Last Chance to Save,2019-05-03,2019-05-10
6,1,Last Chance to Save,2019-06-02,2019-06-07
7,1,Manager's Special,2019-07-04,2019-07-09
8,1,Midnight Madness,2019-08-06,2019-08-11
9,1,Flash Sale Frenzy,2019-09-06,2019-09-12
10,1,Flash Sale Frenzy,2019-10-09,2019-10-15
11,1,Seasonal Discount Event,2019-11-01,2019-11-07
12,1,Seasonal Discount Event,2019-12-09,2019-12-12
13,1,Midnight Madness,2020-01-09,2020-01-14
14,1,Seasonal Discount Event,2020-02-08,2020-02-13
15,1,Friends and Family Discount Days,2020-03-04,2020-03-09
16,1,Anniversary Sale,2020-04-08,2020-04-13
17,1,Last Chance to Save,2020-05-02,2020-05-09
18,1,Seasonal Discount Event,2020-06-06,2020-06-09
19,1,Customer Appreciation Week,2020-07-09,2020-07-13
20,1,Manager's Special,2020-08-05,2020-08-08
21,1,Customer Appreciation Week,2020-09-06,2020-09-11
22,1,Grand Opening Celebration,2020-10-06,2020-10-09
23,1,Flash Sale Frenzy,2020-11-01,2020-11-07
24,1,Last Chance to Save,2020-12-01,2020-12-07
25,1,Friends and Family Discount Days,2021-01-02,2021-01-09
26,1,Seasonal Discount Event,2021-02-06,2021-02-13
27,1,Inventory Liquidation Sale,2021-03-04,2021-03-10
28,1,Flash Sale Frenzy,2021-04-06,2021-04-10
29,1,Anniversary Sale,2021-05-04,2021-05-07
30,1,Customer Appreciation Week,2021-06-09,2021-06-14
31,1,Grand Opening Celebration,2021-07-05,2021-07-09
32,1,Last Chance to Save,2021-08-05,2021-08-10
33,1,Flash Sale Frenzy,2021-09-09,2021-09-12
34,1,Seasonal Discount Event,2021-10-06,2021-10-11
35,1,Manager's Special,2021-11-01,2021-11-04
36,1,Last Chance to Save,2021-12-03,2021-12-07
37,1,Friends and Family Discount Days,2022-01-10,2022-01-15
38,1,Anniversary Sale,2022-02-08,2022-02-15
39,1,Inventory Liquidation Sale,2022-03-04,2022-03-07
40,1,Customer Appreciation Week,2022-04-04,2022-04-11
41,1,Anniversary Sale,2022-05-01,2022-05-05
42,1,Buy One Get One Free (BOGO) Event,2022-06-04,2022-06-08
43,1,Seasonal Discount Event,2022-07-10,2022-07-14
44,1,Grand Opening Celebration,2022-08-03,2022-08-06
45,1,Customer Appreciation Week,2022-09-06,2022-09-11
46,1,Seasonal Discount Event,2022-10-06,2022-10-12
47,1,Flash Sale Frenzy,2022-11-09,2022-11-14
48,1,Last Chance to Save,2022-12-08,2022-12-13
49,1,Grand Opening Celebration,2023-01-06,2023-01-12
50,1,Mega Sale,2023-02-04,2023-02-08
51,1,Last Chance to Save,2023-03-04,2023-03-11
52,1,Last Chance to Save,2023-04-05,2023-04-09
53,1,Friends and Family Discount Days,2023-05-01,2023-05-08
54,1,Manager's Special,2023-06-06,2023-06-09
55,1,Mega Sale,2023-07-09,2023-07-16
56,1,Customer Appreciation Week,2023-08-08,2023-08-15
57,1,Inventory Liquidation Sale,2023-09-09,2023-09-13
58,1,Mega Sale,2023-10-01,2023-10-08
59,1,Customer Appreciation Week,2023-11-08,2023-11-12
60,1,Seasonal Discount Event,2023-12-09,2023-12-13
61,1,Last Chance to Save,2024-01-08,2024-01-15
62,1,Midnight Madness,2024-02-01,2024-02-04
63,1,Mega Sale,2024-03-10,2024-03-17
64,1,Grand Opening Celebration,2024-04-06,2024-04-13
65,1,Manager's Special,2024-05-09,2024-05-14
66,1,Grand Opening Celebration,2024-06-01,2024-06-07
67,1,Buy One Get One Free (BOGO) Event,2024-07-06,2024-07-12
68,1,Flash Sale Frenzy,2024-08-06,2024-08-12
69,1,Manager's Special,2024-09-08,2024-09-11
70,1,Midnight Madness,2024-10-03,2024-10-09
71,1,Friends and Family Discount Days,2024-11-09,2024-11-16
72,1,Inventory Liquidation Sale,2024-12-06,2024-12-13
73,2,Inventory Liquidation Sale,2019-01-06,2019-01-09
74,2,Last Chance to Save,2019-02-09,2019-02-12
75,2,Manager's Special,2019-03-03,2019-03-06
76,2,Inventory Liquidation Sale,2019-04-06,2019-04-10
77,2,Anniversary Sale,2019-05-05,2019-05-11
78,2,Last Chance to Save,2019-06-01,2019-06-07
79,2,Buy One Get One Free (BOGO) Event,2019-07-04,2019-07-11
80,2,Anniversary Sale,2019-08-07,2019-08-12
81,2,Mega Sale,2019-09-05,2019-09-11
82,2,Inventory Liquidation Sale,2019-10-04,2019-10-11
83,2,Flash Sale Frenzy,2019-11-01,2019-11-05
84,2,Buy One Get One Free (BOGO) Event,2019-12-05,2019-12-10
85,2,Anniversary Sale,2020-01-08,2020-01-12
86,2,Manager's Special,2020-02-02,2020-02-09
87,2,Inventory Liquidation Sale,2020-03-02,2020-03-09
88,2,Manager's Special,2020-04-10,2020-04-13
89,2,Friends and Family Discount Days,2020-05-02,2020-05-06
90,2,Anniversary Sale,2020-06-04,2020-06-10
91,2,Inventory Liquidation Sale,2020-07-03,2020-07-10
92,2,Manager's Special,2020-08-02,2020-08-08
93,2,Last Chance to Save,2020-09-05,2020-09-09
94,2,Grand Opening Celebration,2020-10-02,2020-10-08
95,2,Grand Opening Celebration,2020-11-07,2020-11-12
96,2,Inventory Liquidation Sale,2020-12-02,2020-12-05
97,2,Inventory Liquidation Sale,2021-01-10,2021-01-14
98,2,Customer Appreciation Week,2021-02-03,2021-02-09
99,2,Customer Appreciation Week,2021-03-07,2021-03-12
100,2,Flash Sale Frenzy,2021-04-01,2021-04-08
101,2,Midnight Madness,2021-05-02,2021-05-06
102,2,Anniversary Sale,2021-06-01,2021-06-04
103,2,Seasonal Discount Event,2021-07-07,2021-07-10
104,2,Manager's Special,2021-08-09,2021-08-13
105,2,Flash Sale Frenzy,2021-09-02,2021-09-07
106,2,Flash Sale Frenzy,2021-10-10,2021-10-13
107,2,Anniversary Sale,2021-11-08,2021-11-13
