sales_id,visit_id,employee_id,payment_method_id
1,1,370,1
2,2,368,1
3,3,378,5
4,4,370,5
5,6,376,2
6,7,378,1
7,8,601,3
8,9,360,1
9,10,165,3
10,16,156,4
11,17,157,5
12,18,425,2
13,19,5,2
14,20,383,4
15,21,511,4
16,22,710,5
17,23,460,5
18,24,192,4
19,25,717,3
20,26,637,4
21,27,72,3
22,28,81,4
23,29,76,1
24,30,280,2
25,31,284,1
26,32,281,4
27,33,74,1
28,34,282,1
29,35,74,2
30,36,79,1
31,37,354,1
32,38,169,1
33,40,261,1
34,41,27,5
35,42,537,5
36,43,548,4
37,44,101,1
38,46,437,3
39,47,442,2
40,48,443,4
41,50,440,4
42,52,359,1
43,53,714,3
44,54,338,5
45,55,272,5
46,56,481,2
47,57,119,4
48,59,30,1
49,60,552,1
50,62,644,4
51,63,135,5
52,64,115,5
53,65,291,4
54,66,643,4
55,67,62,4
56,68,758,3
57,69,526,4
58,70,415,2
59,71,59,1
60,73,55,4
61,74,752,3
62,75,20,4
63,76,588,3
64,77,165,4
65,78,302,3
66,79,583,4
67,80,737,2
68,81,306,2
69,82,340,5
70,83,358,2
71,84,164,2
72,87,547,1
73,88,108,5
74,89,742,1
75,90,104,1
76,92,734,5
77,93,354,4
78,94,353,1
79,97,744,3
80,98,164,5
81,99,586,5
82,101,709,4
83,102,516,2
84,103,709,4
85,104,629,4
86,106,381,1
87,107,710,5
88,108,207,5
89,110,158,4
90,111,203,4
91,112,430,3
92,113,159,2
93,114,206,4
94,116,253,2
95,117,351,4
96,118,129,4
97,119,168,4
98,120,354,5
99,122,157,1
100,124,210,3
101,125,199,4
102,126,242,1
103,127,266,2
104,128,269,3
105,129,246,4
106,131,267,5
107,133,314,2
108,134,314,1
109,135,316,2
110,136,314,5
111,137,319,5
112,138,322,5
113,143,84,3
114,145,120,2
115,146,455,2
116,147,669,1
117,148,298,5
118,152,618,5
119,153,609,5
120,155,359,3
121,157,344,3
122,161,762,1
123,162,545,1
124,163,263,4
125,166,706,1
126,167,719,4
127,168,6,3
128,170,238,4
129,172,634,3
130,173,724,5
131,174,335,2
132,175,46,3
133,176,737,1
134,177,746,4
135,178,199,4
136,180,540,3
137,182,152,3
138,183,429,3
139,184,428,3
140,185,148,4
141,186,200,2
142,187,203,3
143,188,423,3
144,192,224,5
145,193,593,5
146,194,327,5
147,195,656,1
148,198,337,3
149,200,291,1
150,201,755,1
151,204,529,5
152,206,57,4
153,207,59,4
154,209,306,5
155,210,608,5
156,211,169,3
157,212,584,1
158,214,364,3
159,215,151,2
160,216,158,2
161,217,211,1
162,218,666,5
163,219,220,3
164,220,117,2
165,221,552,1
166,222,778,5
167,223,656,3
168,224,291,4
169,225,214,3
170,226,138,2
171,227,280,4
172,228,280,3
173,230,167,5
174,231,347,1
175,232,163,4
176,233,124,2
177,235,548,2
178,237,766,1
179,239,357,5
180,242,675,2
181,244,616,3
182,245,220,4
183,246,450,4
184,247,541,1
185,248,771,4
186,250,25,4
187,251,127,4
188,253,38,3
189,255,167,1
190,256,134,4
191,257,760,2
192,258,729,5
193,260,638,5
194,261,723,4
195,262,629,4
196,263,629,1
197,265,629,4
198,266,186,2
199,267,8,5
200,268,135,4
201,270,336,4
202,271,616,3
203,272,224,4
204,273,31,1
205,274,34,3
206,275,217,5
207,276,286,1
208,278,75,2
209,281,79,1
210,282,79,1
211,283,277,5
212,284,71,4
213,285,277,5
214,286,1,1
215,287,719,4
216,288,459,2
217,289,190,2
218,290,494,3
219,291,40,5
220,292,647,4
221,294,676,3
222,296,453,1
223,297,691,5
224,298,68,2
225,302,283,3
226,304,291,3
227,305,559,5
228,307,665,5
229,308,138,4
230,310,622,5
231,311,564,2
232,312,202,5
233,313,210,1
234,314,156,1
235,315,424,2
236,316,155,5
237,318,150,5
238,320,282,4
239,321,79,3
240,324,278,1
241,325,80,2
242,326,79,1
243,327,284,3
244,328,78,3
245,330,279,1
246,334,716,5
247,335,152,1
248,336,157,1
249,337,156,3
250,339,155,3
251,341,158,1
252,342,204,4
253,343,149,3
254,347,318,2
255,348,314,3
256,351,615,4
257,353,112,5
258,354,217,5
259,355,593,3
260,356,140,2
261,358,558,3
262,359,327,2
263,360,141,5
264,363,678,3
265,365,557,5
266,367,45,3
267,368,114,2
268,370,77,2
269,371,80,3
270,372,287,5
271,373,70,4
272,374,282,5
273,376,72,4
274,377,276,1
275,379,181,5
276,380,96,3
277,381,576,2
278,382,99,2
279,386,106,1
280,387,601,5
281,388,367,2
282,389,367,3
283,390,366,3
284,391,373,5
285,392,367,3
286,393,367,1
287,394,366,5
288,396,375,5
289,397,371,2
290,399,152,4
291,400,427,2
292,403,154,4
293,404,532,1
294,406,413,1
295,407,63,4
296,410,410,3
297,411,191,1
298,412,232,3
299,413,460,1
300,415,544,5
301,416,184,4
302,417,256,1
303,420,165,3
304,421,652,2
305,422,296,3
306,423,555,2
307,424,624,4
308,425,111,4
309,426,572,1
310,427,565,3
311,428,615,2
312,430,432,4
313,432,431,1
314,434,438,2
315,435,433,2
316,436,443,1
317,437,441,4
318,438,699,1
319,440,698,5
320,442,701,4
321,443,360,4
322,444,252,3
323,445,345,5
324,446,178,3
325,447,743,5
326,448,307,4
327,450,763,5
328,451,276,3
329,452,78,4
330,454,280,5
331,455,277,3
332,456,79,5
333,459,297,1
334,460,677,1
335,462,295,3
336,463,647,4
337,464,599,4
338,466,457,3
339,468,484,5
340,469,249,5
341,470,403,3
342,471,268,5
343,472,482,2
344,474,206,2
345,477,206,2
346,479,152,1
347,481,200,3
348,482,420,1
349,484,151,2
350,486,419,5
351,487,334,2
352,488,28,5
353,491,96,3
354,492,734,2
355,493,100,5
356,495,130,5
357,496,567,3
358,497,692,3
359,498,53,1
360,499,294,3
361,502,129,2
362,503,348,5
363,506,727,4
364,507,467,5
365,508,726,4
366,511,640,5
367,512,338,2
368,514,626,1
369,515,655,1
370,518,104,1
371,519,613,1
372,522,682,2
373,524,292,4
374,525,647,1
375,526,112,5
376,527,597,5
377,528,355,2
378,529,97,1
379,530,253,5
380,531,304,1
381,534,363,3
382,535,263,1
383,536,735,3
384,539,586,3
385,540,305,2
386,541,540,5
387,542,26,1
388,543,301,2
389,544,169,5
390,545,358,3
391,546,180,2
392,547,607,2
393,549,353,1
394,550,27,1
395,552,660,2
396,553,656,5
397,554,335,4
398,555,293,5
399,557,220,5
400,558,24,3
401,559,302,5
402,561,356,2
403,562,27,4
404,563,161,4
405,564,739,5
406,565,132,5
407,566,488,5
408,567,194,4
409,568,638,1
410,569,3,3
411,571,491,5
412,572,512,2
413,573,722,3
414,574,510,4
415,575,19,2
416,576,165,5
417,577,125,4
418,578,181,3
419,580,541,1
420,581,363,3
421,583,739,4
422,584,302,2
423,585,615,3
424,588,698,5
425,589,693,1
426,590,313,3
427,591,761,4
428,592,766,4
429,594,127,5
430,595,735,3
431,596,208,3
432,597,152,3
433,600,202,3
434,601,210,5
435,602,208,5
436,604,201,3
437,605,744,4
438,607,269,5
439,609,274,5
440,611,240,4
441,613,204,4
442,614,282,1
443,615,313,1
