sales_id,product_id,quantity
1,78,1
1,49,3
1,69,2
1,52,2
2,47,3
2,15,2
2,12,1
3,38,2
3,22,2
4,89,2
4,55,1
4,2,1
5,91,3
5,7,3
5,24,3
5,93,2
6,78,1
6,22,1
7,14,2
7,55,2
7,25,3
7,94,2
8,3,3
8,44,1
8,17,3
9,35,2
9,47,3
9,83,1
9,42,2
10,38,2
10,20,3
11,98,1
11,61,1
11,48,3
12,8,1
13,92,3
14,52,3
14,62,2
15,13,1
15,5,2
16,57,3
16,2,3
16,36,2
16,25,3
16,65,3
17,80,1
17,3,2
17,54,3
18,42,3
18,38,1
18,92,1
18,14,1
19,37,3
19,64,1
19,61,1
20,26,2
20,54,1
20,99,3
20,31,3
21,7,1
21,25,2
21,95,2
21,17,1
22,19,1
22,24,2
22,2,3
22,99,1
22,3,1
23,98,2
23,47,2
23,71,1
24,16,1
24,5,3
24,28,1
24,35,3
25,88,1
25,96,2
26,72,3
26,80,1
27,18,3
27,45,3
27,9,2
27,63,2
28,21,2
28,54,2
28,36,3
29,62,3
29,37,1
29,100,2
29,99,2
30,62,1
30,31,1
31,8,3
31,24,1
31,66,2
31,43,1
32,66,3
32,44,3
32,89,2
32,46,1
33,76,2
33,10,2
33,32,1
33,73,3
34,20,2
34,68,1
34,96,2
34,24,1
34,38,2
35,38,1
35,13,1
35,58,3
36,86,3
36,98,1
36,40,2
36,70,3
37,46,1
37,81,2
38,79,1
39,40,2
39,50,1
39,17,1
39,86,1
40,11,3
40,93,1
40,61,2
41,79,2
41,66,2
41,51,2
42,85,2
42,39,2
42,30,3
42,67,1
43,87,3
43,69,3
43,11,3
44,76,1
44,56,2
44,59,1
45,16,3
46,14,1
46,19,3
47,88,1
47,40,3
47,19,1
47,32,1
47,75,1
48,69,2
48,90,2
48,14,1
49,89,1
49,48,1
50,69,2
50,91,3
51,68,1
51,10,1
51,90,2
52,97,3
52,72,1
52,94,3
52,60,1
52,69,3
53,47,3
53,82,3
53,95,1
53,83,3
53,27,1
54,84,3
54,9,1
55,8,2
55,12,3
55,93,1
55,38,1
56,83,1
57,75,3
57,15,1
57,96,2
57,29,2
57,30,1
58,37,2
58,22,1
59,18,3
59,30,1
59,21,2
59,70,1
59,11,1
60,14,2
60,77,1
61,91,2
61,66,2
61,84,3
61,90,2
62,1,3
63,60,1
63,11,2
63,53,1
64,17,3
64,94,3
64,31,2
65,14,2
65,4,1
65,64,2
65,71,3
66,95,3
66,60,1
66,8,3
66,88,2
66,62,2
67,94,1
67,8,3
67,31,2
68,41,3
68,91,2
68,92,1
68,8,3
69,19,1
69,100,3
69,79,3
70,57,3
70,86,2
70,79,3
71,1,1
71,80,1
71,11,3
72,97,3
73,36,2
73,42,1
73,39,2
73,1,3
74,56,1
74,79,3
75,41,2
76,74,2
76,9,1
76,93,3
77,17,3
77,81,1
78,1,3
78,25,3
79,65,3
79,97,3
79,68,3
79,73,3
79,75,1
80,67,1
81,43,2
81,57,1
81,13,3
82,2,1
82,83,1
82,42,3
83,70,3
83,55,2
83,53,2
83,90,3
