schedule_id,day_1,day_2,day_3,day_4,day_5,entry_hour,exit_hour
1,Monday,Wednesday,Friday,Sunday,Tuesday,09:00,17:00
2,Monday,Friday,Tuesday,Saturday,Thursday,09:00,17:00
3,Thursday,Tuesday,Monday,Friday,Wednesday,09:00,17:00
4,Monday,Thursday,Wednesday,Friday,Tuesday,09:00,17:00
5,Thursday,Friday,Tuesday,Monday,Wednesday,09:00,17:00
6,Monday,Thursday,Sunday,Saturday,Tuesday,09:00,17:00
7,Sunday,Saturday,Monday,Friday,Thursday,09:00,17:00
8,Saturday,Wednesday,Sunday,Thursday,Friday,09:00,17:00
9,Saturday,Friday,Wednesday,Thursday,Tuesday,09:00,17:00
10,Saturday,Thursday,Tuesday,Sunday,Friday,09:00,17:00
11,Sunday,Wednesday,Friday,Thursday,Tuesday,10:00,18:00
12,Thursday,Monday,Sunday,Tuesday,Saturday,10:00,18:00
13,Thursday,Sunday,Monday,Wednesday,Tuesday,10:00,18:00
14,Wednesday,Monday,Tuesday,Saturday,Sunday,10:00,18:00
15,Monday,Friday,Sunday,Tuesday,Thursday,10:00,18:00
16,Friday,Sunday,Tuesday,Saturday,Thursday,10:00,18:00
17,Sunday,Tuesday,Friday,Wednesday,Monday,10:00,18:00
18,Wednesday,Tuesday,Friday,Saturday,Thursday,10:00,18:00
19,Monday,Thursday,Sunday,Tuesday,Saturday,10:00,18:00
20,Friday,Saturday,Wednesday,Thursday,Tuesday,10:00,18:00
21,Wednesday,Tuesday,Thursday,Friday,Sunday,11:00,19:00
22,Wednesday,Friday,Monday,Tuesday,Sunday,11:00,19:00
23,Saturday,Monday,Thursday,Tuesday,Friday,11:00,19:00
24,Thursday,Friday,Monday,Sunday,Tuesday,11:00,19:00
25,Tuesday,Wednesday,Friday,Monday,Thursday,11:00,19:00
26,Wednesday,Tuesday,Thursday,Friday,Saturday,11:00,19:00
27,Tuesday,Friday,Saturday,Sunday,Wednesday,11:00,19:00
28,Tuesday,Monday,Sunday,Wednesday,Saturday,11:00,19:00
29,Friday,Wednesday,Tuesday,Thursday,Monday,11:00,19:00
30,Friday,Saturday,Sunday,Wednesday,Monday,11:00,19:00
31,Tuesday,Friday,Saturday,Thursday,Monday,12:00,20:00
32,Wednesday,Saturday,Monday,Friday,Thursday,12:00,20:00
33,Wednesday,Friday,Saturday,Thursday,Sunday,12:00,20:00
34,Wednesday,Thursday,Sunday,Friday,Saturday,12:00,20:00
35,Thursday,Tuesday,Sunday,Friday,Monday,12:00,20:00
36,Wednesday,Friday,Saturday,Monday,Sunday,12:00,20:00
37,Thursday,Sunday,Friday,Monday,Wednesday,12:00,20:00
38,Wednesday,Sunday,Thursday,Saturday,Friday,12:00,20:00
39,Thursday,Sunday,Tuesday,Saturday,Monday,12:00,20:00
40,Sunday,Monday,Tuesday,Wednesday,Saturday,12:00,20:00
41,Wednesday,Thursday,Tuesday,Saturday,Sunday,13:00,21:00
42,Sunday,Saturday,Friday,Monday,Thursday,13:00,21:00
43,Friday,Saturday,Monday,Wednesday,Sunday,13:00,21:00
44,Saturday,Sunday,Thursday,Wednesday,Tuesday,13:00,21:00
45,Friday,Saturday,Wednesday,Tuesday,Monday,13:00,21:00
46,Thursday,Saturday,Tuesday,Monday,Wednesday,13:00,21:00
47,Friday,Saturday,Sunday,Thursday,Wednesday,13:00,21:00
48,Thursday,Monday,Sunday,Saturday,Tuesday,13:00,21:00
49,Wednesday,Friday,Thursday,Tuesday,Monday,13:00,21:00
50,Thursday,Tuesday,Wednesday,Monday,Sunday,13:00,21:00
51,Monday,Wednesday,Friday,Saturday,Tuesday,13:00,21:00
52,Friday,Saturday,Thursday,Sunday,Monday,13:00,21:00
53,Tuesday,Thursday,Wednesday,Saturday,Friday,13:00,21:00
54,Tuesday,Friday,Monday,Sunday,Wednesday,13:00,21:00
55,Sunday,Monday,Tuesday,Thursday,Wednesday,13:00,21:00
56,Friday,Saturday,Sunday,Wednesday,Thursday,13:00,21:00
57,Tuesday,Wednesday,Friday,Monday,Saturday,13:00,21:00
58,Thursday,Monday,Friday,Wednesday,Saturday,13:00,21:00
59,Saturday,Sunday,Wednesday,Friday,Tuesday,13:00,21:00
60,Tuesday,Thursday,Sunday,Monday,Wednesday,13:00,21:00
61,Sunday,Wednesday,Tuesday,Thursday,Friday,14:00,22:00
62,Tuesday,Monday,Friday,Wednesday,Sunday,14:00,22:00
63,Friday,Thursday,Saturday,Monday,Tuesday,14:00,22:00
64,Sunday,Monday,Thursday,Wednesday,Tuesday,14:00,22:00
65,Friday,Saturday,Monday,Wednesday,Thursday,14:00,22:00
66,Wednesday,Monday,Saturday,Friday,Sunday,14:00,22:00
67,Saturday,Wednesday,Monday,Thursday,Tuesday,14:00,22:00
68,Thursday,Monday,Tuesday,Friday,Saturday,14:00,22:00
69,Monday,Saturday,Thursday,Wednesday,Sunday,14:00,22:00
70,Thursday,Friday,Sunday,Tuesday,Wednesday,14:00,22:00
71,Thursday,Friday,Tuesday,Saturday,Wednesday,15:00,23:00
72,Friday,Sunday,Wednesday,Saturday,Monday,15:00,23:00
73,Thursday,Tuesday,Wednesday,Friday,Sunday,15:00,23:00
74,Saturday,Thursday,Friday,Tuesday,Sunday,15:00,23:00
75,Monday,Saturday,Friday,Thursday,Wednesday,15:00,23:00
76,Tuesday,Thursday,Saturday,Wednesday,Sunday,15:00,23:00
77,Thursday,Saturday,Wednesday,Sunday,Friday,15:00,23:00
78,Saturday,Sunday,Tuesday,Thursday,Monday,15:00,23:00
79,Monday,Saturday,Wednesday,Tuesday,Friday,15:00,23:00
80,Saturday,Sunday,Tuesday,Wednesday,Thursday,15:00,23:00
