store_id,street,city,province,country
1,12 Yonge St,Toronto,Ontario,Canada
2,67 Sparks St,Ottawa,Ontario,Canada
3,78 Granville St,Vancouver,British Columbia,Canada
4,45 Rue Sainte-Catherine,Montreal,Quebec,Canada
5,56 Stephen Ave,Calgary,Alberta,Canada
6,89 Portage Ave,Winnipeg,Manitoba,Canada
7,45 Rue Sainte-Catherine,Montreal,Quebec,Canada
8,78 Granville St,Vancouver,British Columbia,Canada
9,210 Jasper Ave,Edmonton,Alberta,Canada
10,89 Portage Ave,Winnipeg,Manitoba,Canada
11,123 Queen St W,Toronto,Ontario,Canada
12,34 Barrington St,Halifax,Nova Scotia,Canada
13,34 Barrington St,Halifax,Nova Scotia,Canada
14,89 Portage Ave,Winnipeg,Manitoba,Canada
15,56 Stephen Ave,Calgary,Alberta,Canada
16,45 Rue Sainte-Catherine,Montreal,Quebec,Canada
17,67 Sparks St,Ottawa,Ontario,Canada
18,210 Jasper Ave,Edmonton,Alberta,Canada
19,34 Barrington St,Halifax,Nova Scotia,Canada
20,89 Portage Ave,Winnipeg,Manitoba,Canada
21,210 Jasper Ave,Edmonton,Alberta,Canada
22,56 Stephen Ave,Calgary,Alberta,Canada
23,123 Queen St W,Toronto,Ontario,Canada
24,210 Jasper Ave,Edmonton,Alberta,Canada
25,56 Stephen Ave,Calgary,Alberta,Canada
26,90 Robson St,Vancouver,British Columbia,Canada
27,78 Granville St,Vancouver,British Columbia,Canada
28,90 Robson St,Vancouver,British Columbia,Canada
29,12 Yonge St,Toronto,Ontario,Canada
30,67 Sparks St,Ottawa,Ontario,Canada
31,67 Sparks St,Ottawa,Ontario,Canada
32,12 Yonge St,Toronto,Ontario,Canada
33,123 Queen St W,Toronto,Ontario,Canada
34,78 Granville St,Vancouver,British Columbia,Canada
35,12 Yonge St,Toronto,Ontario,Canada
36,34 Barrington St,Halifax,Nova Scotia,Canada
37,45 Rue Sainte-Catherine,Montreal,Quebec,Canada
38,45 Rue Sainte-Catherine,Montreal,Quebec,Canada
39,56 Stephen Ave,Calgary,Alberta,Canada
40,34 Barrington St,Halifax,Nova Scotia,Canada
41,210 Jasper Ave,Edmonton,Alberta,Canada
42,56 Stephen Ave,Calgary,Alberta,Canada
43,45 Rue Sainte-Catherine,Montreal,Quebec,Canada
44,210 Jasper Ave,Edmonton,Alberta,Canada
45,67 Sparks St,Ottawa,Ontario,Canada
46,34 Barrington St,Halifax,Nova Scotia,Canada
47,67 Sparks St,Ottawa,Ontario,Canada
48,90 Robson St,Vancouver,British Columbia,Canada
49,12 Yonge St,Toronto,Ontario,Canada
50,12 Yonge St,Toronto,Ontario,Canada
51,210 Jasper Ave,Edmonton,Alberta,Canada
52,90 Robson St,Vancouver,British Columbia,Canada
53,90 Robson St,Vancouver,British Columbia,Canada
54,78 Granville St,Vancouver,British Columbia,Canada
55,12 Yonge St,Toronto,Ontario,Canada
56,90 Robson St,Vancouver,British Columbia,Canada
57,34 Barrington St,Halifax,Nova Scotia,Canada
58,90 Robson St,Vancouver,British Columbia,Canada
59,12 Yonge St,Toronto,Ontario,Canada
60,12 Yonge St,Toronto,Ontario,Canada
