weather_id,store_id,weather_condition,date
1,1,Windy,2019-01-01
2,2,Cold,2019-01-01
3,3,Sleet,2019-01-01
4,4,Overcast,2019-01-01
5,5,Overcast,2019-01-01
6,6,Windy,2019-01-01
7,7,Snowy,2019-01-01
8,8,Cloudy,2019-01-01
9,9,Cold,2019-01-01
10,10,Freezing,2019-01-01
11,11,Freezing,2019-01-01
12,12,Overcast,2019-01-01
13,13,Cloudy,2019-01-01
14,14,Freezing,2019-01-01
15,15,Overcast,2019-01-01
16,16,Overcast,2019-01-01
17,17,Cold,2019-01-01
18,18,Snowy,2019-01-01
19,19,Freezing,2019-01-01
20,20,Overcast,2019-01-01
21,21,Freezing,2019-01-01
22,22,Snowy,2019-01-01
23,23,Overcast,2019-01-01
24,24,Snowy,2019-01-01
25,25,Overcast,2019-01-01
26,26,Snowy,2019-01-01
27,27,Snowy,2019-01-01
28,28,Snowy,2019-01-01
29,29,Sleet,2019-01-01
30,30,Overcast,2019-01-01
31,31,Freezing,2019-01-01
32,32,Sleet,2019-01-01
33,33,Overcast,2019-01-01
34,34,Overcast,2019-01-01
35,35,Snowy,2019-01-01
36,36,Overcast,2019-01-01
37,37,Overcast,2019-01-01
38,38,Cloudy,2019-01-01
39,39,Cold,2019-01-01
40,40,Cold,2019-01-01
41,41,Cold,2019-01-01
42,42,Snowy,2019-01-01
43,43,Sleet,2019-01-01
44,44,Sleet,2019-01-01
45,45,Overcast,2019-01-01
46,46,Windy,2019-01-01
47,47,Cold,2019-01-01
48,48,Sleet,2019-01-01
49,49,Windy,2019-01-01
50,50,Sleet,2019-01-01
51,51,Freezing,2019-01-01
52,52,Snowy,2019-01-01
53,53,Windy,2019-01-01
54,54,Windy,2019-01-01
55,55,Cloudy,2019-01-01
56,56,Cold,2019-01-01
57,57,Cloudy,2019-01-01
58,58,Snowy,2019-01-01
59,59,Sleet,2019-01-01
60,60,Freezing,2019-01-01
61,1,Snowy,2019-01-02
62,2,Freezing,2019-01-02
63,3,Overcast,2019-01-02
64,4,Windy,2019-01-02
65,5,Overcast,2019-01-02
66,6,Overcast,2019-01-02
67,7,Snowy,2019-01-02
68,8,Cloudy,2019-01-02
69,9,Sleet,2019-01-02
70,10,Freezing,2019-01-02
71,11,Snowy,2019-01-02
72,12,Overcast,2019-01-02
73,13,Snowy,2019-01-02
74,14,Snowy,2019-01-02
75,15,Sleet,2019-01-02
76,16,Sleet,2019-01-02
77,17,Snowy,2019-01-02
78,18,Snowy,2019-01-02
79,19,Overcast,2019-01-02
80,20,Snowy,2019-01-02
81,21,Sleet,2019-01-02
82,22,Overcast,2019-01-02
83,23,Sleet,2019-01-02
84,24,Freezing,2019-01-02
85,25,Snowy,2019-01-02
86,26,Snowy,2019-01-02
87,27,Windy,2019-01-02
88,28,Windy,2019-01-02
89,29,Freezing,2019-01-02
90,30,Overcast,2019-01-02
91,31,Cold,2019-01-02
92,32,Windy,2019-01-02
93,33,Windy,2019-01-02
94,34,Snowy,2019-01-02
95,35,Overcast,2019-01-02
96,36,Sleet,2019-01-02
97,37,Freezing,2019-01-02
98,38,Cold,2019-01-02
99,39,Cloudy,2019-01-02
100,40,Sleet,2019-01-02
101,41,Freezing,2019-01-02
102,42,Overcast,2019-01-02
103,43,Freezing,2019-01-02
104,44,Freezing,2019-01-02
105,45,Cloudy,2019-01-02
106,46,Freezing,2019-01-02
107,47,Cloudy,2019-01-02
108,48,Overcast,2019-01-02
109,49,Cold,2019-01-02
110,50,Overcast,2019-01-02
111,51,Cold,2019-01-02
112,52,Snowy,2019-01-02
113,53,Overcast,2019-01-02
114,54,Freezing,2019-01-02
115,55,Windy,2019-01-02
116,56,Windy,2019-01-02
117,57,Cloudy,2019-01-02
118,58,Sleet,2019-01-02
119,59,Sleet,2019-01-02
120,60,Cloudy,2019-01-02
121,1,Cloudy,2019-01-03
122,2,Freezing,2019-01-03
123,3,Freezing,2019-01-03
124,4,Overcast,2019-01-03
125,5,Cold,2019-01-03
126,6,Freezing,2019-01-03
127,7,Sleet,2019-01-03
128,8,Overcast,2019-01-03
129,9,Snowy,2019-01-03
130,10,Windy,2019-01-03
131,11,Cold,2019-01-03
132,12,Windy,2019-01-03
133,13,Sleet,2019-01-03
134,14,Overcast,2019-01-03
135,15,Overcast,2019-01-03
136,16,Overcast,2019-01-03
137,17,Cloudy,2019-01-03
138,18,Snowy,2019-01-03
139,19,Snowy,2019-01-03
140,20,Sleet,2019-01-03
141,21,Cloudy,2019-01-03
142,22,Windy,2019-01-03
143,23,Cloudy,2019-01-03
144,24,Cloudy,2019-01-03
145,25,Overcast,2019-01-03
146,26,Windy,2019-01-03
147,27,Sleet,2019-01-03
148,28,Cloudy,2019-01-03
149,29,Cloudy,2019-01-03
150,30,Cloudy,2019-01-03
151,31,Cold,2019-01-03
152,32,Cold,2019-01-03
153,33,Snowy,2019-01-03
